filename,xmin,ymin,xmax,ymax,Tree
1.jpg,131,194,881,609,Cecropia Hololeuca
10.jpeg,49,159,896,455,Cecropia Hololeuca
11.jpg,1,155,748,605,Cecropia Hololeuca
12.jpeg,302,55,854,418,Cecropia Hololeuca
13.jpeg,105,25,877,440,Cecropia Hololeuca
14.jpeg,100,277,1006,649,Cecropia Hololeuca
15.jpeg,73,100,842,550,Cecropia Hololeuca
16.jpeg,198,180,854,393,Cecropia Hololeuca
17.jpg,296,174,826,480,Cecropia Hololeuca
18.jpeg,131,92,741,544,Cecropia Hololeuca
19.jpeg,50,7,1007,683,Cecropia Hololeuca
2.jpg,223,118,865,636,Cecropia Hololeuca
20.jpeg,393,148,949,634,Cecropia Hololeuca
21.jpeg,1,502,667,797,Cecropia Hololeuca
22.jpeg,274,19,967,475,Cecropia Hololeuca
23.jpeg,272,213,512,481,Cecropia Hololeuca
24.jpeg,75,88,983,481,Cecropia Hololeuca
25.jpeg,176,127,1001,440,Cecropia Hololeuca
26.jpeg,197,364,537,667,Cecropia Hololeuca
27.jpeg,77,53,889,570,Cecropia Hololeuca
28.jpeg,52,353,745,652,Cecropia Hololeuca
29.jpg,27,182,698,430,Cecropia Hololeuca
3.jpeg,251,233,790,526,Cecropia Hololeuca
30.jpeg,113,170,910,532,Cecropia Hololeuca
31.jpeg,101,324,768,858,Cecropia Hololeuca
32.jpg,328,197,715,385,Cecropia Hololeuca
33.jpeg,75,163,926,668,Cecropia Hololeuca
34.jpg,123,181,944,497,Cecropia Hololeuca
36.jpeg,42,1,1015,569,Cecropia Hololeuca
38.jpeg,1,291,926,640,Cecropia Hololeuca
39.jpeg,1,1,1021,678,Cecropia Hololeuca
4.jpeg,300,198,765,493,Cecropia Hololeuca
40.jpeg,356,161,929,591,Cecropia Hololeuca
41.jpeg,70,104,1019,603,Cecropia Hololeuca
42.jpg,14,61,371,259,Cecropia Hololeuca
43.jpeg,10,82,298,300,Cecropia Hololeuca
44.jpeg,30,68,490,278,Cecropia Hololeuca
5.jpeg,126,274,591,710,Cecropia Hololeuca
7.jpeg,240,125,874,490,Cecropia Hololeuca
8.jpg,192,118,795,423,Cecropia Hololeuca
9.jpg,191,233,952,606,Cecropia Hololeuca
