filename,xmin,ymin,xmax,ymax,Tree
DJI_0617.JPG,1,195,1322,1140,Tree
DJI_0618.JPG,1731,407,3587,1379,Tree
DJI_0619.JPG,2570,829,3431,1668,Tree
DJI_0835.JPG,1876,1096,3215,1779,Tree
DJI_0838.JPG,3065,779,4259,1757,Tree
DJI_0839.JPG,1315,85,2503,1296,Tree
DJI_0841.JPG,4026,424,5115,2596,Tree
DJI_0844.JPG,1998,1090,3215,2107,Tree
DJI_0847.JPG,1920,618,2615,1940,Tree
DJI_0850.JPG,2620,1508,3159,1941,Tree
DJI_0852.JPG,3059,663,4870,2452,Tree
DJI_0853.JPG,1759,863,5020,2324,Tree
DJI_0854.JPG,876,852,2159,1607,Tree
