image_path,xmin,ymin,xmax,ymax,label
F:\CÓDIGO\model\fotos\senna_alata (54).jpg,1972,1107,3761,2213,fedegoso
F:\CÓDIGO\model\fotos\4.jpeg,353,226,728,458,cecropia_hololeuca
F:\CÓDIGO\model\fotos\19.jpeg,53,55,974,644,cecropia_hololeuca
F:\CÓDIGO\model\fotos\10.jpeg,96,187,873,450,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (102).jpg,2561,1418,3167,1952,fedegoso
F:\CÓDIGO\model\fotos\11.jpg,1,200,760,522,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (53).jpg,978,1102,4261,2368,fedegoso
F:\CÓDIGO\model\fotos\senna_alata (96).jpg,1845,1024,3161,2090,fedegoso
F:\CÓDIGO\model\fotos\mud10.jpeg,192,448,765,1077,mudafedegoso
F:\CÓDIGO\model\fotos\2.jpg,221,167,705,525,cecropia_hololeuca
F:\CÓDIGO\model\fotos\1.jpg,391,327,791,589,cecropia_hololeuca
F:\CÓDIGO\model\fotos\mud23.jpeg,358,280,889,643,mudafedegoso
F:\CÓDIGO\model\fotos\mud9.jpeg,260,538,514,816,mudafedegoso
F:\CÓDIGO\model\fotos\senna_alata (74).jpg,2450,1696,2817,2052,fedegoso
F:\CÓDIGO\model\fotos\41.jpeg,126,154,989,537,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (84).jpg,84,263,1606,2924,fedegoso
F:\CÓDIGO\model\fotos\mud21.jpeg,287,238,738,897,mudafedegoso
F:\CÓDIGO\model\fotos\33.jpeg,198,197,885,452,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (93).jpg,2578,168,4939,2196,fedegoso
F:\CÓDIGO\model\fotos\mud14.jpeg,507,455,938,1058,mudafedegoso
F:\CÓDIGO\model\fotos\senna_alata (99).jpg,1739,585,2484,1996,fedegoso
F:\CÓDIGO\model\fotos\21.jpeg,20,547,641,732,cecropia_hololeuca
F:\CÓDIGO\model\fotos\8.jpg,278,129,723,362,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (56).jpg,1084,835,3450,2485,fedegoso
F:\CÓDIGO\model\fotos\senna_alata (87).jpg,1900,1063,3078,1785,fedegoso
F:\CÓDIGO\model\fotos\mud6.jpeg,319,590,699,890,mudafedegoso
F:\CÓDIGO\model\fotos\mud12.jpeg,565,372,975,831,mudafedegoso
F:\CÓDIGO\model\fotos\mud3.jpeg,377,582,838,916,mudafedegoso
F:\CÓDIGO\model\fotos\senna_alata (104).jpg,939,440,4945,2302,fedegoso
F:\CÓDIGO\model\fotos\25.jpeg,219,179,754,409,cecropia_hololeuca
F:\CÓDIGO\model\fotos\24.jpeg,106,100,951,419,cecropia_hololeuca
